Name,Description,Status,Star Count,Pull Count,Last Updated,Low - Fixable,Low - No Fix,Medium - Fixable,Medium - No Fix,High - Fixable,High - No Fix,Critical - Fixable,Critical - No Fix,Unspecified - Fixable,Unspecified - No Fix
flink,Apache Flink® is a powerful open-source distributed stream and batch processing framework.,active,404,86368409,2023-10-13T13:34:27.192491Z,3,12,1,4,0,0,0,0,0,0
swipl,SWI-Prolog offers a comprehensive free Prolog environment.,active,64,3032030,2023-10-17T22:51:53.087138Z,0,80,0,1,0,0,0,1,0,0
rust,Rust is a systems programming language focused on safety speed and concurrency.,active,875,72986675,2023-10-21T04:01:55.709796Z,1,82,0,7,0,0,0,1,0,0
mediawiki,MediaWiki is a free software open source wiki package written in PHP.,active,515,44305974,2023-10-21T09:37:12.808731Z,1,72,0,5,0,0,0,1,0,3
euleros,DEPRECATED; lacking active maintainer,active,33,705379,2020-09-16T19:44:28.581242Z,0,0,0,0,0,0,0,0,0,0
sl,Official containers for Scientific Linux(SL),active,51,591025,2023-10-06T02:03:00.355628Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
open-liberty,Open Liberty multi-architecture images based on Ubuntu 18.04,active,62,12612114,2023-10-19T03:04:20.586243Z,3,11,1,4,0,0,0,0,0,0
clefos,The official build of ClefOS.,active,23,696463,2022-01-21T19:00:21.64162Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
teamspeak,TeamSpeak is software for quality voice communication via the Internet.,active,500,133720928,2023-10-21T04:28:41.809781Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
matomo,Matomo is the leading open-source analytics platform that gives you more than powerful analytics.,active,314,117763937,2023-10-21T08:57:07.600775Z,1,40,0,0,0,0,0,1,0,3
yourls,YOURLS is a set of PHP scripts that will allow you to run Your Own URL Shortener.,active,259,20669029,2023-10-21T09:28:01.002006Z,1,39,0,0,0,0,0,1,0,3
alt,The official build of ALT Linux.,active,58,664281,2023-09-26T01:07:57.799657Z,0,0,0,0,0,0,0,0,0,0
amazoncorretto,Corretto is a no-cost production-ready distribution of the Open Java Development Kit (OpenJDK).,active,345,64432051,2023-10-25T02:22:35.836887Z,0,0,0,0,0,0,0,0,0,0
express-gateway,DEPRECATED; The Official Docker Image of Express Gateway an API Gateway for APIs and Microservices,active,74,2371296,2022-11-30T02:59:10.814396Z,0,0,18,1,11,0,4,0,0,0
postfixadmin,Postfix Admin - web based administration interface for Postfix mail servers.,active,181,4956147,2023-10-21T09:28:48.915141Z,1,39,4,0,3,0,1,1,1,3
fluentd,Fluentd is an open source data collector for unified logging layer,active,183,10690505,2023-10-21T01:12:24.583088Z,0,0,1,0,0,0,0,0,1,0
adoptopenjdk,DEPRECATED; use https://hub.docker.com/_/eclipse-temurin/,active,369,96249585,2021-10-06T18:00:36.296631Z,45,10,67,2,5,0,0,0,0,0
sapmachine,Official SapMachine Docker Image SAP's build of OpenJDK.,active,48,21765289,2023-10-19T22:09:51.61703Z,3,11,1,3,0,0,0,0,0,0
varnish,Varnish is an HTTP accelerator designed for content-heavy dynamic web sites as well as APIs.,active,162,15247904,2023-10-21T03:57:00.2507Z,1,28,0,1,0,0,0,1,0,0
jobber,DEPRECATED; Jobber is an alternative to cron with sophisticated status-reporting and error-handling,active,48,672998,2021-11-13T06:22:46.728704Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
archlinux,Arch Linux is a simple lightweight Linux distribution aimed for flexibility.,active,516,23942670,2023-10-17T00:41:01.319811Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
friendica,Welcome to the free social web.,active,56,4420232,2023-10-21T08:29:44.495041Z,2,116,21,4,37,0,5,1,4,3
caddy,Caddy 2 is a powerful enterprise-ready open source web server with automatic HTTPS written in Go.,active,638,540742282,2023-10-21T00:27:09.883466Z,0,0,0,0,2,0,0,0,1,0
monica,Monica – the Personal Relationship Manager.,active,177,10828432,2023-10-21T09:09:39.460697Z,6,84,14,0,5,0,2,1,2,3
phpmyadmin,phpMyAdmin - A web interface for MySQL and MariaDB.,active,883,57796784,2023-10-21T09:25:50.168047Z,1,40,1,0,0,0,0,1,0,3
hitch,Hitch is a libev-based high performance SSL/TLS proxy by Varnish Software.,active,19,391051,2023-10-12T01:15:59.849038Z,0,25,0,0,0,0,0,1,0,0
almalinux,The official build of AlmaLinux OS.,active,130,4583250,2023-07-18T19:58:07.326704Z,0,0,7,0,8,0,0,0,0,0
dart,Dart is a client-optimized language for fast apps on any platform.,active,124,1664359,2023-10-25T23:02:09.391419Z,1,33,0,0,0,0,0,1,0,0
eclipse-temurin,Official Images for OpenJDK binaries built by Eclipse Temurin.,active,448,78640247,2023-10-20T02:59:53.386053Z,3,16,1,15,0,0,0,0,0,0
